QualifiedApiName,DeveloperName,Description,DataType
PA__c,PA,,Checkbox
pi__pardot_hard_bounced__c,pardot_hard_bounced,Boolean that determines whether lead hard bounced.,Checkbox
Jigsaw,Jigsaw,,Text(20)
pi__utm_content__c,utm_content,,Text(255)
CurrencyIsoCode,CurrencyIsoCode,,Picklist
Marketing_Source__c,Marketing_Source,,Picklist
SmartScan_Questions__c,SmartScan_Questions,,Long Text Area(32768)
IsPriorityRecord,IsPriorityRecord,,Checkbox
Website,Website,,URL(255)
HDPE__c,HDPE,,Checkbox
CS_APP__Provider_Description__c,Provider_Description,,Text(255)
HasOptedOutOfEmail,HasOptedOutOfEmail,,Checkbox
Marketing_Opt_In__c,Marketing_Opt_In,,Checkbox
CS_APP__Currency__c,Currency,,Text(255)
FERROUS_METAL__c,FERROUS_METAL,,Checkbox
LastViewedDate,LastViewedDate,,Date/Time
pi__grade__c,grade,"The Account Engagement grade is based on how well a prospect fits your organization's ideal customer profile. Explicit factors such as company size, industry, job title and more help determine this value. A combination of grade (explicit) and score (implicit) can be used to very effectively optimize the sales team's time. Grade, like score, is calculated within the Account Engagement system and cannot be edited in Salesforce.com.",Text(10)
Business_Development_Representative__c,Business_Development_Representative,,Lookup(User)
FIBRE_ORDINARY_GRADES__c,FIBRE_ORDINARY_GRADES,,Checkbox
CS_APP__Reason_Code__c,Reason_Code,,Text(255)
CS_APP__Days_Beyond_Term__c,Days_Beyond_Term,,"Number(18, 0)"
pi__first_search_term__c,first_search_term,"If a Prospects first touch was the result of a search, the field holds the term that was searched on.",Text(255)
PS__c,PS,,Checkbox
ConvertedAccountId,ConvertedAccount,,Lookup(Account)
Sales_Representative_Name__c,Sales_Representative_Name,,Text(255)
Job_Title__c,Job_Title,,Text(100)
pi__conversion_object_type__c,conversion_object_type,"The type of object which converted an anonymous visitor into a named prospect (form, form handler, landing page, or video form).",Text(255)
pi__score__c,score,"The Account Engagement score is based on implicit buying signals a lead demonstrates through his or her activities and responses to your marketing efforts. The higher the score, the more active the lead has been. A combination of score (implicit buying signals) and grade (explicit factors) helps you prioritize your prospects. Score, like grade, is calculated within the Account Engagement system and cannot be edited in Salesforce.com.","Number(18, 0)"
Phone,Phone,,Phone
PC__c,PC,,Checkbox
IsUnreadByOwner,IsUnreadByOwner,,Checkbox
sansancard__CreatedByScanToSalesforce__c,CreatedByScanToSalesforce,,Checkbox
SYNTHETIC_RUBBER__c,SYNTHETIC_RUBBER,,Checkbox
Industry,Industry,,Picklist
OTHER_SINGLE_SOURCES__c,OTHER_SINGLE_SOURCES,,Checkbox
